,Funding,counts
1238,"Center for Biomedical Science and Engineering, Missouri University of Science and Technology, CBSE",1
1237,Center for Biomedical Optics and New Laser Systems,1
1236,"Center for Biomedical Informatics and Information Technology, National Cancer Institute, CBIIT, NCI CBIIT",1
1235,"Center for Big Data Analytics and Statistics, Chang Gung Memorial Hospital, CBDAS",1
1234,"Center for Autonomous Systems and Technologies, CAST",1
1233,"Center for African Studies, CAS",1
1232,"Center for Advanced Soft Electronics, CASE",1
1231,"Center for Advanced Retinal and Ocular Therapeutics, Perelman School of Medicine, University of Pennsylvania, CAROT",1
1230,Center Core,1
1229,Centaline Myopia Fund,1
1228,Celltrion,1
1226,Cell Dynamics Research Center,1
1224,Cedars-Sinai Winnick Clinical Scholars Award,1
1223,"Cedars-Sinai Medical Center, CS",1
1222,"Cecil G. Sheps Center for Health Services Research, University of North Carolina, Chapel Hill, CGSCHSR",1
1221,CePTER,1
1220,"CdmoGen Co., Ltd.",1
1219,Catholic University of Leuven,1
1218,"Catholic Medical Center, CMC",1
1217,Catholic Medical Center Research Foundation,1
1216,Catalan government,1
1215,Catalan Government,1
1177,"Carl Zeiss Meditec , Chengdu Kanghong Biotech",1
1173,Caribbean Health Research Council Meetings,1
1094,CURE Childhood Cancer,1
1111,Canada Brain Research Fund,1
1131,"Canadian Institutes of Health Research , Canada",1
1130,Canadian Institutes of Health Research,1
1129,Canadian Institute of Health Research and Kidney Foundation of Canada,1
1128,Canadian Institute for Health Information,1
1125,"Canadian Diabetes Association, Heart and Stroke Fund of Canada",1
1124,"Canadian Diabetes Association, Heart and Stroke Foundation Canada",1
1121,"Canadian Child Health Clinician Scientist Program, CCHCSP",1
1120,"Canadian Association of Optometrists, CAO",1
1119,Canadian Association of General Surgeons,1
1118,Canadian Agency for Drugs and Technologies in Health,1
1116,Canada Research Chair in the Genetics of Complex Diseases,1
1115,Canada Research Chair Program,1
1110,CanAm,1
1172,CareandPublicHealthResearch Institute,1
1109,Camille Waseta,1
1108,Camden Medical Centre,1
1107,"California Sea Grant, University of California, San Diego, CASG",1
1106,"California Institute of Regenerative Medicine, CIRM",1
1105,"California Institute for Regenerative Medicine, L’Oreal",1
1103,California Governor’s Office of Planning and Research,1
1101,"California Earthquake Authority, CEA",1
1099,"California Community Foundation, CCF",1
1098,California Community Foundation,1
1097,"Caisse nationale de solidarité pour l'autonomie, CNSA",1
1096,Caisse Nationale Maladie des Travailleurs Salariés,1
1095,Cagliari University Hospital,1
1132,Canadian Institutes of Health Research's Strategy Patient-Oriented Research,1
1134,"Canadian Institutes of Health Research, Canada",1
1136,Canadian Medical & Surgical Knowledge,1
1137,Canadian Medical and Surgical Knowledge,1
1170,Cardiovascular Research Institute Maastricht,1
1168,Cardiovascular Center,1
1167,"Cardiological Society of India, CSI",1
1166,CardioDx Inc.,1
1165,"Cardinal Tien Hospital, Taipei, Taiwan",1
1164,"Cardinal Tien Hospital, CTH",1
1163,Cardiff University,1
1161,Capital's Funds for Health Improvement and Research,1
1160,Capital clinical diagnosis and treatment technology research and demonstration application project of China,1
1157,Capes–Projetos Conjuntos de Pesquisa em Drug Discovery,1
1156,"Cantor Foundation, Iris & B. Gerald",1
1155,Cancerfonden,1
1153,Cancer Research UK,1
1152,"Cancer Research Society, CRS",1
1150,"Cancer Prevention Initiative, CPI",1
1149,"Cancer Institute, West Virginia University, WVUCI",1
1148,Cancer Institute NSW,1
1147,Cancer Council Tasmania,1
1145,Cancer Center Support,1
1144,Canarian Research Agency,1
1143,Canadian the Heart and Stroke Foundation,1
1142,Canadian the Heart & Stroke Foundation Canada,1
1141,Canadian Statistical Sciences Institute,1
1140,"Canadian Society of Endocrinology and Metabolism, CSEM",1
1139,"Canadian Optometric Education Trust Fund, COETF",1
933,Brazilian Society of Diabetes – Federal District Regional,1
931,"Brain Research Trust, BRT",1
621,Azienda Ospedaliera di Perugia Ospedale S Maria Della Misericordia,1
715,Bayer HealthCare LLC,1
730,Bayer Vital,1
729,Bayer UK,1
727,Bayer Schweiz AG,1
726,Bayer Retina Award Foundation,1
725,Bayer Portugal,1
724,Bayer Pharmaceutical Company,1
723,"Bayer Pharmaceutical Co., Ltd.",1
722,Bayer Japan,1
721,Bayer Holding Ltd.,1
720,Bayer Hellas,1
718,Bayer Healthcare Pharmaceuticals Inc.,1
717,Bayer Healthcare,1
714,Bayer Health Care Japan,1
733,"Bayer, United Kingdom",1
712,Bayer Fund,1
707,Bayer Consumer Care,1
706,Bayer Canada,1
704,"Bayer AG, Basel",1
703,Bayer AB,1
701,Bayannaoer Science and Technology Bureau,1
700,Baxter Ltd.,1
697,Baxter Extramural,1
695,Baxter BioScience,1
694,Bausch and Lomb and Santen,1
692,Bausch Health,1
691,Bausch & Lomb and Santen,1
732,Bayer Yakuhin Ltd,1
734,Bayer-Schering,1
930,"Brain Injury Research Center, BIRC",1
752,Beihang University & Capital Medical University,1
766,Beijing Higher Education Young Elite Teacher Project,1
765,Beijing Hepingli Hospital,1
764,Beijing Health OLight technology,1
763,"Beijing Genomics Institute, BGI",1
762,Beijing Excellent Talents Funding for Youth Scientist Innovation Team,1
761,Beijing Excellent Talent Plan,1
760,Beijing Education Committee Cooperation Building Foundation Project,1
759,Beijing Communities Diabetes Study,1
758,Beijing Chaoyang Hospital “1351 Talent Development Plan,1
757,Beijing Chaoyang Hospital Affiliated to Capital Medical University,1
756,Beijing Changping Hospital,1
754,"Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, Beijing Tongren Hospital",1
751,Behring-Röntgen Foundation,1
735,Bayerische Forschungsstiftung,1
750,Beetham Eye Institute,1
747,Beckman Foundation,1
746,Beckett-Fonden,1
745,Beckett Foundation,1
744,Becket Foundation,1
743,Beaver-Visitec International Inc.,1
742,Beaver-Visitec International,1
741,Beatson Fund,1
740,Beatson Cancer Charity,1
739,Beatrice & Reymont Paul Foundation,1
738,Baystate Medical Center Academic Affairs,1
736,Bayer Consumer Care AG,1
690,"Bausch & Lomb (Rochester, New York, USA",1
688,Basic scientific research in Central UESTC,1
686,Basic Scientific Research Project of Wenzhou City,1
635,BHF Centre for Cardiovascular Science,1
649,"Bader Philanthropies, BPI",1
648,"Bacchus Marsh), Victoria",1
647,BaGA,1
646,BULGARIA,1
644,BRAZIL,1
642,BP,1
641,BONFOR GEROK Program University of Bonn,1
640,BONFOR,1
639,BMK,1
638,BJW,1
637,BIOP,1
636,BIH,1
634,BERLIN-CHEMIE,1
685,Basic Research program of Chongqing,1
633,BEAt-DKD,1
632,BD,1
631,BCVA,1
630,BCH-ZF,1
629,BBMRI-NL,1
628,BASc,1
627,BAB,1
626,"Azərbaycan Respirator Cəmiyyəti, ARC",1
625,Azrieli Foundation,1
624,Azienda Ospedaliero Universitaria S Maria della Misericordia di Udine,1
623,Azienda Ospedaliero Universitaria Pisana,1
622,Azienda Ospedaliero Universitaria Careggi,1
650,Bagenkop Nielsen Myopia Foundation,1
651,Bagger-Sørensen Foundation,1
652,Baim Institute for Clinical Research,1
653,Ball Brothers Foundation,1
684,Basic Research Promotion Fund,1
683,Basic Research Project of Henan Eye Institute,1
682,Basic Research Programs of Sichuan Province,1
681,Basic Research Programs of Shanghai Ninth People’s Hospital,1
680,Basic Research Program of Science and Technology Commission Foundation of Hunan province,1
679,Basic Research Plan of Guangzhou Science and Technology Plan Project,1
676,Basic Health Appropriate Technology Spark Promotion Program of Jiangxi Province,1
675,Bascorn Palmer Eye Institute,1
674,Bascom Palmer Eye Institute,1
672,"Barnet Dulaney Perkins Eye Center, Sun City",1
671,Barnabas Gellen,1
670,Barbera Tuck Macphee,1
669,Barbara and Gerson Bakar Foundation,1
668,Barbara and Donald Jonas Family Fund,1
667,Barbara Davis Center for Childhood Diabetes,1
665,Barbara & Donald Jonas Laboratory of Regenerative Medicine and Bernard & Shirlee Brown Glaucoma Laboratory,1
664,Barbara & Donald Jonas Family Fund,1
663,Baptiste Berthou,1
662,Baotou Science and Technology Bureau,1
660,"Banting and Best Diabetes Centre, University of Toronto, BBDC",1
659,Banner-University of Arizona Hospital,1
657,Bangerter Foundation,1
656,"Banco Santander, Spain",1
655,"Banco Santander , Spain",1
654,Banatao Institute,1
767,Beijing Hospital Doctoral Scientific Research Foundation,1
768,Beijing Hospital Nova Project,1
769,Beijing Hospital of Traditional Chinese Medicine Affiliated to Capital medical university,1
867,Biomedical Laboratory Research and Development,1
884,Birdshot Uveitis Society,1
883,Biotronik Japan,1
882,Biotronik,1
880,"Biotechnology Industry Research Assistance Council, BIRAC",1
879,Bioplatforms Australia,1
878,Bionics Institute,1
877,"Bionic Vision Technologies, Chengdu Kanghong Biotechnology",1
875,"Bionic Vision Technologies, Chengdu Kanghong Biotech",1
874,Bionic Vision Technologies Pty Ltd,1
873,Bionic Vision Technologies,1
871,"Biomedical Research Council, Singapore",1
869,Biomedical Mass Spectrometry Facility,1
866,Biomedical Laboratory R&D,1
847,Betty Powers Optical Coherence Tomography Research Fund,1
865,Biomedical Institute for Convergence,1
864,"Biomedical Advanced Research and Development Authority, BARDA",1
861,Biocon,1
860,Biocomplexity Institute at Indiana University,1
859,"Biochemistry Department, Purdue University",1
858,Biocenter Finland for slide-scanning,1
856,BioTime,1
855,BioSHaRE-EU consortium,1
854,BioPlex,1
851,BiSEP,1
850,Bhagavathi Eye Hospital,1
849,Beyeonics Surgical,1
885,"Black Metropolis Research Consortium, BMRC",1
886,Blanton Eye Institute,1
887,Blazer Foundation for the Nanomedicine Research Lab,1
888,BlephEx,1
928,Botswana medical study teams,1
927,"Boston VA Research Institute, Society of Cardiovascular Patient Care",1
926,"Boston VA Research Institute, BVARI",1
923,Boston Micromachines,1
922,Boston Imaging Reading Center,1
921,Boston Children’s Hospital/IDDRC,1
920,Boston Children’s Hospital Surgical Foundation,1
917,Boston Children’s Hospital Manton Center,1
915,Boston Children's Hospital,1
913,Bosch Institute Molecular Biology Facility,1
912,Bogota,1
911,Bofinger Glaucoma Research Fund,1
908,Boehringer Mannheim,1
907,"Boehringer Ingleheim, Chengdu Pharma",1
904,Boehringer Ingelheim España,1
903,Boehringer Ingelheim Deutschland GmbH & Co,1
901,Boehringer Ingelgeim and Sanofi,1
900,Boehringer Ingel-heim,1
899,Boehringer In-gelheim,1
897,Boehm's Foundation,1
896,Board of Research,1
895,Blue Cross Blue Shield of Michigan,1
894,"Bloom's Syndrome Foundation, BSF",1
893,Blindenpenning Foundation,1
889,Bleser Foundation,1
848,Beutler Foundation,1
846,Better Therapeutics,1
770,Beijing Hospitals Authority Youth Programme,1
791,Beijing Natural Science Foundation Haidian Original Innovation,1
809,Beijing Tongren Hospital Top Talent Training Program,1
808,Beijing Tongren Hospital Capital Medical University,1
806,"Beijing Tian Tan Hospital, Capital Medical University, BJTHH",1
804,Beijing Talent Project in the New Millennium,1
803,Beijing Social Science Foundation Research Base,1
802,Beijing Social Science Foundation,1
801,Beijing Shijitan Hospital,1
800,"Beijing Shanggong Medical Technology Co., Ltd.",1
799,Beijing Science and Technology Planning Project,1
798,Beijing Science and Technology New Star Project,1
796,Beijing Science and Technology,1
792,Beijing Natural Science Foundation Haidian Original Innovation Joint Fund,1
790,Beijing National Research Center for Information Science and Technology,1
845,Bethune Public Welfare Foundation,1
788,Beijing Municipal Science and Technology Commission's Capital Clinical CharacteristicApplication Research,1
786,Beijing Municipal Health System Special Funds of High-Level Medical Personnel Construction,1
785,"Beijing Municipal Health Commission, BMHB",1
784,Beijing Municipal Health Commission,1
783,Beijing Municipal Commission of Health and Family Planning,1
780,Beijing Municipal Administration of Hospitals’ Ascent Plan,1
779,Beijing Municipal Administration of Hospitals' Ascent Plan DFL20150201,1
778,Beijing Municipal Administration of Hospitals Incubating Program,1
775,Beijing Key Laboratory of Kidney Disease Research,1
774,Beijing Integrated Traditional and Western Medicine of Beijing Municipal Administration of Traditional Chinese Medicine,1
772,Beijing Institute of Technology Ministry of Education of China,1
771,Beijing Hospitals Authority’s Ascent Plan,1
810,Beijing Traditional Chinese Medicine Scienec and Tehc,1
811,"Beijing University of Chinese Medicine, BUCM",1
812,"Beijing University of Traditional Chinese Medicine, Beijing",1
813,"Beijing University of Traditional Chinese Medicine, First Affiliated Hospital of Henan University of Traditional Chinese Medicine, Eye Hospital of Heilongjiang Jiaoshi",1
844,Bethune Merck Diabetes Research Foundation,1
843,Bethune Lumitin Young and Middle-aged Ophthalmic Research Fund,1
842,Bethune Langmu young and middle-aged Science Foundation,1
841,Bethune Charitable Foundation,1
840,"Berwick Eye Center, Victoria",1
839,Berufsverband der Augenärzte Deutschland,1
838,Bert von Kantzows Foundation,1
837,Bernard and Anne Spitzer Stem Cell Fund,1
836,Bernard Becker-Association of University,1
835,Bernard A. Newcomb Macular Degeneration Research Fund,1
832,Berlin-Chemie AG/Menarini Group,1
831,Berlin University of Medicine,1
830,Berlin Institute of Health,1
828,Benefit One Health Care Inc.,1
827,Bendigo District Aboriginal Health Service,1
825,Belvoir Media Group,1
824,"Belgorod National Research University, BelSU",1
823,Belgian State,1
821,Belfer Diabetes Fund,1
820,Belfast Health and Social Care Trust,1
818,Beijing-Tianjin- Hebei Special Project,1
817,Beijing municipal medical research institutes pilot reform project,1
816,Beijing Youan Hospital,1
815,"Beijing University of Traditional Chinese Medicine, Zaozhuang Hospital of Traditional Chinese Medicine of Shandong Province",1
814,"Beijing University of Traditional Chinese Medicine, Yueyang Hospital of Integrated Traditional Chinese and Western Medicine Affiliated to Shanghai University of Traditional Chinese Medicine, Cangzhou Hospital of Integrated Traditional Chinese and Western Mediine ebei roine uananmen ospital o China Academy of Chinese Medical Sciences",1
2503,FREEDOMS,1
2505,FRSM,1
2506,FSBI Scientific Research Institute of Eye Diseases,1
4173,Kinarus AG,1
4187,King Saud University Medical City,1
4186,King Pharmaceuticals,1
4185,King Gustaf the V:s 80 Year Foundation,1
4184,"King Faisal University, KFU",1
4183,King Fahd Security College/Ministry of Interior/Saudi Arabia,1
4182,King Fahd Central Hospital,1
4181,King Chulalongkorn Memorial Hospital,1
4180,King Bhumibol Adulyadej,1
4179,King Baudouin Foundation for medical scientific research,1
4178,"King Baudouin Foundation United States, KBFUS",1
4177,"King Abdullah International Medical Research Center, KAIMRC",1
4174,Kindai University,1
4172,Kimiyo Saito,1
4190,King's College Hospital NHS Foundation Trust,1
4171,Kiminori Hosoda,1
4170,Killam Foundation,1
4169,Kiichi Komoto,1
4168,Kidney Research UK,1
4167,Kidney Health Australia,1
4166,"Kidney Foundation of Ohio, KFO",1
4165,"Kidney Foundation of Canada, KFOC",1
4163,Key laboratory of Effective Substances Research and Utilization in TCM of Shanxi province,1
4162,Key Young Medical Talent Project of Jiangsu Health Commission,1
4161,Key University Science Research Project of Jiangsu Province,1
4159,Key Technologies Research and Development Program of Guangzhou,1
4158,Key Technologies Research and Development Program of Anhui Province,1
4189,King's College Hospital Medical School,1
4192,"King's College London, KCL",1
4089,Katsuya Egawa,1
4215,Komarek-Hyde-McQueen Foundation,1
4229,"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture, Forestry and Fisheries",1
4228,"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture and Forestry, IPET",1
4227,Korea Health Technology Research and Development Project,1
4225,Korea Foundation for Advanced Studies,1
4224,Korea Forestry Promotion Institute,1
4223,"Korea Forest Service, KFS",1
4222,"Korea Evaluation Institute of Industrial Technology, KEIT",1
4221,"Korea Environment Institute, KEI",1
4220,"Korea Drug Development Fund, KDDF",1
4219,"Korea Basic Science Institute, KBSI",1
4217,Kompetenznetz Diabetes mellitus,1
4216,"Kommunfullmäktige, Stockholms Stad",1
4214,"Koeln Fortune Program/Faculty of Medicine, University of Cologne",1
4195,Kinki Central Hospital,1
4213,Kodiak Sciences Inc.,1
4211,Kockska stiftelsen,1
4210,"Kobe College Corporation, KCC",1
4208,Knut and Alice Wallenberg,1
4206,Knights Templar Eye Foundation Pediatric Ophthalmology Career,1
4205,Knights Templar Eye Foundation Endowment in Ophthalmology,1
4204,Knight's Templar of Iowa,1
4203,Klorfine Family Endowed Chair,1
4202,Klinik für Augenheilkunde,1
4199,Kissi Teaching & Referral Government Eye Hospital,1
4198,"Kissei Pharma Co., Ltd.",1
4196,Kirsten Dyrløv Madsens legat,1
4157,Key Scientific Research Projects in Shandong Province China,1
4156,Key Scientific Research Project of Hunan Administration of Traditional Chinese Medicine,1
4155,Key Research and Development and Promotion Project of Henan Province,1
4106,Kementerian Keuangan Republik Indonesia,1
4118,Key Area Research and Development Program of Guangdong Province,1
4117,Key Area R&D Program of Guangdong Province,1
4116,Kerstan Foundation,1
4115,Keratoconus Australia,1
4114,Kepler Universitätsklinikum,1
4113,Kentucky Lions Eye Foundation,1
4112,Kensington Eye Institute,1
4111,Kenneth T. and Eileen L. Norris Foundation,1
4110,Kenji Kamiuchi,1
4109,Kenes Group,1
4108,Ken Kanazawa,1
4107,"Kementerian Pendidikan Malaysia, KPM, )",1
4105,"Kementerian Kesihatan Malaysia, MOH",1
4154,Key Research and Development Programs by Science and Technology Department of Jiangxi Province,1
4104,Kellogg's,1
4103,"Kellogg Eye Center, University of Michigan",1
4101,Kellogg Eye Center Core Center for Vision,1
4099,Kelli Bassett,1
4098,Keiseikai Hospital,1
4097,"Keio University, Keio",1
4096,"Keio University School of Medicine, Tokyo, Japan",1
4095,Keelung General Hospital,1
4094,Kazuyuki Hida,1
4093,Kazumi Mori-Anai,1
4092,Kawasaki Medical School,1
4091,Kawano Masanori Memorial Public Interest Incorporated Foundation,1
4119,Key Discipline of Public Health–Eye Health in Shanghai,1
4120,Key Field R&D Plan Project of Guangdong province,1
4121,Key Laboratory Development Project of Minimally Invasive Techniques & Rapid Rehabilitation of Digestive System Tumor,1
4122,Key Laboratory of Cognitive Computing and Intelligent Information Processing of Fujian Education Institutions,1
4153,Key Research and Development Program of Sichuan Province,1
4152,Key Research and Development Program of Shanxi,1
4150,Key Research and Development Plan of Jiangxi Provincial Science and Technology Department,1
4149,Key Research and Development Plan of Guangdong Province,1
4148,Key Research and Development Plan from Shaanxi Province,1
4146,Key R&D Program of Shandong Province,1
4143,Key R & D plan of Hunan Province of China,1
4142,Key Project of Research and Development Plan,1
4141,Key Project of Nature Science Foundation of Guangdong Province,1
4140,Key Project of Natural Science Foundation,1
4139,Key Project of Humanities and Social Sciences Research in Anhui Universities,1
4138,Key Project of Health Bureau of Chongqing,1
4136,Key Project of Guangdong Provincial Science and Technology Program,1
4135,Key Project of Applied Basic Research of Sichuan province Science and Technology Department,1
4134,Key Program of Natural Science Foundation of State,1
4133,Key Program for Science and Technology Innovative Research Team in Shaanxi Province of China,1
4131,Key Medical Subjects of Jiangsu Province,1
4130,Key Laboratory of System Control and Information Processing,1
4129,Key Laboratory of Popular Type of High-performance Computer of Guangdong Province,1
4128,Key Laboratory of Polysaccharide Bioactivity Evaluation of TCM of Liaoning Province,1
4127,Key Laboratory of Photoelectronic Imaging Technology and System Beijing Institute of Technology Ministry of Education of China,1
4126,Key Laboratory of Photoelectronic Imaging Technology and System,1
4125,Key Laboratory of Medical Neurobiology of Zhejiang Province,1
4124,"Key Laboratory of Engineering Plastics, Chinese Academy of Sciences",1
4123,Key Laboratory of Computer System and Architecture,1
4230,"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture, Forestry and Fisheries, iPET",1
4231,"Korea Institute of Science and Technology, KIST",1
4232,Korea Medical Device Development Fund,1
4336,Laurel Therapeutics,1
4348,Leducq Network,1
4347,Lecturer – Allergan,1
4346,Lecturer - Heidelberg Engineering,1
4345,Lecturer - AbbVie-Allergan,1
4344,Leading Innovative and Entrepreneur Team Introduction Program of Zhejiang,1
4343,Leading Academic Discipline Project of Beijing Education Bureau,1
4342,LeRoy Schecter Foundation,1
4341,Layton Rahmatullah Benevolent Trust,1
4340,Lawson Wilkins Pediatric Endocrine Society,1
4339,Lawson Health Research Institute,1
4338,"Lawson Foundation, Canada",1
4337,Lauro Wanderley University Hospital,1
4335,"Laura and John Arnold Foundation, LJAF",1
4316,Laboratory of Clinical and Visual Sciences,1
4332,Latvian Association of Endocrinology,1
4331,Lastentautien Tutkimussäätiö,1
4330,Las Palmas de Gran Canaria,1
4329,Lars Erik Lundbergs Stiftelse för Forskning och Utbildning,1
4327,Lanzhou University in 2020,1
4326,Lanzhou University 2022 College Students Innovation and Entrepreneurship,1
4325,Lanzhou Science and Technology Development,1
4323,Land Baden-Wuerttemberg,1
4322,Lahey Hospital Librarian,1
4320,Laboratory of Qingpu Branch of Zhongshan Hospital,1
4319,Laboratory of Molecular and Cellular Signaling,1
4318,Laboratory of Lipid and Glucose Metabolism,1
4349,Leducq transatlantic Network ARTEMIS,1
4351,Lehikoinen Foundation,1
4352,Leicester General Hospital,1
4353,Leiden Longevity Study,1
4386,Lilly UK,1
4385,Lilly Grant Office,1
4384,"Lilly Endowment, Inc.",1
4383,Lilly Diabetes,1
4382,Lille I University,1
4381,Ligue Régionale contre le cancer,1
4379,Ligand Pharmaceuticals Inc.,1
4377,Life Scan Japan K.K. Masaomi Nangaku,1
4376,Life Scan Japan K.K.,1
4375,Libin Cardiovascular Institute,1
4374,"Liaoning University of Traditional Chinese Medicine, Hong Kong Baptist University School of Chinese Medicine, Taian China Medical U iv rsity Wellsprin clinic",1
4372,Liaoning Provincial Programme,1
4371,Liaoning Provincial Program for Top Discipline of Basic Medical Sciences,1
4369,"Liaoning Medical University, LMU",1
4368,Liao Wun Yuk Diabetes Memorial Fund,1
4367,Lewis Trust,1
4366,Leuven University Fund - Opening the Future,1
4365,Leuven University Fund,1
4364,Leuven University,1
4363,Leslie Cranbourne Foundation,1
4362,Les Fonds de Recherche en Ophtalmologie de l’Université de Montréal,1
4361,Les Amis des Aveugles,1
4358,Leona & Helsmley Charitable Trust,1
4357,Leon Lowenstein Foundation,1
4356,Leon Levy Foundation,1
4317,Laboratory of Imaging Detection and Intelligent Perception University of Electronic Science and Technology of China,1
4315,Laboratory Medicine,1
4233,"Korea Medical Device Development Fund, KMDF",1
4255,Kowa Pharmaceuticals,1
4268,"Kunming Medical Joint Special Project, , 2017FE468)",1
4267,Kunihiro Nishimura,1
4266,Kunichi Kouyama and Michiru Fukunaga,1
4265,Kunichi Kouyama,1
4264,Kungliga Fysiografiska Sällskapet i Lund,1
4263,Kumamoto University,1
4262,"Kronkosky Charitable Foundation, KCF",1
4261,Kresge Foundation,1
4259,Krapperup foundation,1
4258,Krapperup Foundation,1
4257,Koç University Research Center for Translational Medicine,1
4256,Kozawa Eye Hospital and Diabetes Center,1
4253,Kowa Pharmaceutical Company Ltd.,1
4313,Laboratorio de Ensayos de Desar-rollo Farmacéutico,1
4252,Kowa Pharmaceutical Co. Ltd.,1
4250,Kowa Pharma Co. Ltd.,1
4248,"Kowa Company, Ltd.",1
4244,Kosin University,1
4243,Kos Pharmaceuticals,1
4242,"Kortney Rose Foundation, KRF",1
4240,Korean Ophthalmology Society,1
4239,"Korean Ministry for Health, Welfare, and Family Affairs",1
4237,"Korea Science and Engineering Foundation, KOSEF",1
4236,"Korea Research Institute of Standards and Science, KRISS",1
4235,Korea National University of Transportation Industry-Academy Cooperation Foundation,1
4234,Korea Ministry of Health & Welfare,1
4272,Kuopio University Hospital VTR,1
4273,Kuopio University Hospital VTR-grant,1
4275,Kurume University Hospital,1
4276,Kyorin University Hospital,1
4312,Laboratori Guidotti,1
4308,LabEx ASLAN,1
4307,Lab of Sichuan Province,1
4306,LVL,1
4305,"LV Prasad Eye Institute, Science and Engineering Research Board",1
4304,LUDC-IRC,1
4303,LUDC,1
4302,LSU Health Shreveport,1
4301,LOEWE Center for Personalized Translational Epilepsy Research,1
4300,LMU Klinikum der Universität,1
4299,LKC Technologies Inc.,1
4298,LJR,1
4297,LIFE Foundation,1
4296,LEO Fondet,1
4294,LCVS,1
4293,LAM Therapeutics,1
4292,L.E.W Carty Charitable Fund,1
4291,L'Hospitalet de Llobregat,1
4290,Købmand Marie Kirstine Jensens Fond,1
4287,Kyungpook?national university,1
4286,Kyung Hee University Medical Center,1
4285,Kyowa-Medex Corporation,1
4282,Kyowa Kirin Co. Ltd.,1
4280,Kyowa Hakko Kirin Co. Ltd.,1
4277,Kyoto Drug Discovery & Development,1
4090,Katsuzo and Kiyo Aoshima Memorial Funds,1
4088,Katsina State Hospital Services Management Board,1
4388,Lilly and Sanofi,1
3875,Japanese Vitreo-retinal Society,1
3892,Jiangsu Geriatrics Society,1
3889,Jiangnan University of Wuxi,1
3888,Jerring Foundation,1
3887,Jerold B. Katz Foundation,1
3886,Jeremiah Milbank Foundation,1
3885,Jeonbuk National University Hospital,1
3884,Jennifer Salvitti Davis,1
3883,"Jeju National University Hospital, JNUH",1
3880,Jean Shanks Foundation,1
3879,Jean Perkins Foundation,1
3877,Jasmine Schipp,1
3876,"Japan’s Ministry of Health, and Welfare",1
3873,Japanese Society of Ophthalmic Diabetology,1
3895,Jiangsu Pharmaceutical Society‐Tianqing Hospital Pharmaceutical Fund Project,1
3872,Japanese Society of Diabetic Complications,1
3871,Japanese Red Cross Otsu Hospital,1
3870,"Japanese Dermatological Association, JDA",1
3869,Japan Vascular Disease Research Foundation,1
3865,Japan Society for the Promotion of Science,1
3864,"Japan Science and Technology Corporation, JST",1
3861,Japan Osteoporosis Foundation,1
3860,"Japan Ophthalmic Instruments Association , Parexel , Nidek",1
3858,Japan National Society for The Prevention of Blindness,1
3857,"Japan Medical Communication, Inc.",1
3856,"Japan Medical Association, JMA",1
3855,Japan Medical Association,1
3894,Jiangsu Pharmaceutical Society-Tianqing Hospital Pharmaceutical Fund Project,1
3896,Jiangsu Planned Projects for Postdoctoral Research Funds,1
4087,Katsina State Government,1
3919,Jiangsu Universities,1
3937,Jinan Young Science and Technology Stars Project,1
3936,"Jilin Province Science & Technology Committee, China",1
3935,Jilin Province Development and Reform Commission Industrial Technology Research and Development Project,1
3934,Jikei University School of Medicine,1
3933,"Jiangxi University of Traditional Chinese Medicine, JXUTCM",1
3929,Jiangxi Provincial Key Laboratory of Low-Carbon Solid Waste,1
3928,Jiangxi Provincial Health Commission,1
3925,Jiangxi Province Health Department Foundation of China,1
3923,Jiangxi Health and Family Planning Commission,1
3922,Jiangxi Health Commission,1
3921,Jiangxi Geriatric Clinical Medical Research Center,1
3920,Jiangsu postgraduate research and innovation program,1
3918,Jiangsu Students’ Platform for Innovation and Entrepreneurship Training Program,1
3897,Jiangsu Province Advantageous Subject Construction Project,1
3917,Jiangsu Students' Platform for innovation and entrepreneurship training program,1
3916,"Jiangsu Simcere Diagnostics Co., Ltd.",1
3915,Jiangsu Scientific Research Project of Women’s and Children’s Health,1
3914,Jiangsu Scientific Research Project of Elderly Health,1
3912,Jiangsu Provincial Traditional Chinese Medicine,1
3911,Jiangsu Provincial Six Talent Peaks,1
3909,Jiangsu Provincial People's Hospital,1
3904,Jiangsu Provincial Key Medical Discipline,1
3903,Jiangsu Provincial Health Science and Technology Commission,1
3901,Jiangsu Province of China,1
3899,Jiangsu Province Hospital Core Facility Center,1
3898,Jiangsu Province Department of Science and Technology,1
3854,Japan Intractable Diseases Research Foundation,1
3853,"Japan International Cooperation Agency, JICA",1
3852,Japan IDDM network,1
3792,J iangsu Provincial Post Graduate Innovation Plan,1
3806,JFRASE,1
3805,JFC Sales Plan,1
3804,JDRF/Sanofi,1
3803,JDRF/NHMRC CRE,1
3802,JDRF/NHMRC,1
3800,JDRF Center of Excellence at U-M,1
3799,JDRF Center for Excellence,1
3798,JDRF Canadian Clinical Trials Network,1
3796,JDRF 1-RSC-2021-1050-A-N,1
3795,JBF,1
3794,JACOM Foundation,1
3793,J. Bowen-Morris,1
3791,J McKnight,1
3851,Japan Heart Foundation & Astellas,1
3790,Izumi Iseda,1
3789,Iwate Tohoku Medical Megabank Organization,1
3787,Ito Chube’s Foundation,1
